Account,Site,Location,Notification Email,Notification Name
Boston University,BU #102 Student Health Services,"881 Commonwealth Avenue , Boston, MA, 02215, US",buresourcemanager@casella.com,Device Advanced Full (Hauler)
Boston University,BU #102 Student Health Services,"881 Commonwealth Avenue , Boston, MA, 02215, US",casella.peabody.service.requests@casella.com,Device Advanced Full (Hauler)
Boston University,BU #102 Student Health Services,"881 Commonwealth Avenue , Boston, MA, 02215, US",thomas.segearjr@casella.com,Device Advanced Full (Hauler)
Boston University,BU #102 Student Health Services,"881 Commonwealth Avenue , Boston, MA, 02215, US",srhealey@bu.edu,Device Empty (On-Site)
Boston University,BU #102 Student Health Services,"881 Commonwealth Avenue , Boston, MA, 02215, US",buresourcemanager@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #102 Student Health Services,"881 Commonwealth Avenue , Boston, MA, 02215, US",casella.peabody.service.requests@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #102 Student Health Services,"881 Commonwealth Avenue , Boston, MA, 02215, US",thomas.segearjr@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #102 Student Health Services,"881 Commonwealth Avenue , Boston, MA, 02215, US",srhealey@bu.edu,Device Full (On-Site and Hauler)
Boston University,BU #102 Student Health Services,"881 Commonwealth Avenue , Boston, MA, 02215, US",tcbondj@bu.edu,Device Full (On-Site and Hauler)
Boston University,BU #102 Student Health Services,"881 Commonwealth Avenue , Boston, MA, 02215, US",mmoura@bu.edu,Device Full (On-Site and Hauler)
Boston University,BU #105 Kilachand Hall,"91 Bay State Rd , Boston, MA, 02215, US",thomas.segearjr@casella.com,Device Advanced Full (Hauler)
Boston University,BU #105 Kilachand Hall,"91 Bay State Rd , Boston, MA, 02215, US",buresourcemanager@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #105 Kilachand Hall,"91 Bay State Rd , Boston, MA, 02215, US",casella.peabody.service.requests@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #105 Kilachand Hall,"91 Bay State Rd , Boston, MA, 02215, US",thomas.segearjr@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #105 Kilachand Hall,"91 Bay State Rd , Boston, MA, 02215, US",srhealey@bu.edu,Device Full (On-Site and Hauler)
Boston University,BU #105 Kilachand Hall,"91 Bay State Rd , Boston, MA, 02215, US",za@bu.edu,Device Full (On-Site and Hauler)
Boston University,BU #108 Agganis Arena,"925 Commonwealth Avenue , Boston, MA, 02215, US",buresourcemanager@casella.com,Device Advanced Full (Hauler)
Boston University,BU #108 Agganis Arena,"925 Commonwealth Avenue , Boston, MA, 02215, US",casella.peabody.service.requests@casella.com,Device Advanced Full (Hauler)
Boston University,BU #108 Agganis Arena,"925 Commonwealth Avenue , Boston, MA, 02215, US",thomas.segearjr@casella.com,Device Advanced Full (Hauler)
Boston University,BU #108 Agganis Arena,"925 Commonwealth Avenue , Boston, MA, 02215, US",srhealey@bu.edu,Device Empty (On-Site)
Boston University,BU #108 Agganis Arena,"925 Commonwealth Avenue , Boston, MA, 02215, US",buresourcemanager@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #108 Agganis Arena,"925 Commonwealth Avenue , Boston, MA, 02215, US",casella.peabody.service.requests@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #108 Agganis Arena,"925 Commonwealth Avenue , Boston, MA, 02215, US",thomas.segearjr@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #108 Agganis Arena,"925 Commonwealth Avenue , Boston, MA, 02215, US",srhealey@bu.edu,Device Full (On-Site and Hauler)
Boston University,BU #108 Agganis Arena,"925 Commonwealth Avenue , Boston, MA, 02215, US",jperri@bu.edu,Device Full (On-Site and Hauler)
Boston University,BU #18 - Warren Hall,"14 Buswell St , Boston, MA, 02215, US",buresourcemanager@casella.com,Device Advanced Full (Hauler)
Boston University,BU #18 - Warren Hall,"14 Buswell St , Boston, MA, 02215, US",casella.peabody.service.requests@casella.com,Device Advanced Full (Hauler)
Boston University,BU #18 - Warren Hall,"14 Buswell St , Boston, MA, 02215, US",srhealey@bu.edu,Device Empty (On-Site)
Boston University,BU #18 - Warren Hall,"14 Buswell St , Boston, MA, 02215, US",buresourcemanager@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #18 - Warren Hall,"14 Buswell St , Boston, MA, 02215, US",casella.peabody.service.requests@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #18 - Warren Hall,"14 Buswell St , Boston, MA, 02215, US",thomas.segearjr@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #18 - Warren Hall,"14 Buswell St , Boston, MA, 02215, US",srhealey@bu.edu,Device Full (On-Site and Hauler)
Boston University,BU #18 - Warren Hall,"14 Buswell St , Boston, MA, 02215, US",rsuther@bu.edu,Device Full (On-Site and Hauler)
Boston University,BU #2 Student Village,"10 Buick St , Boston, MA, 02215, US",buresourcemanager@casella.com,Device Advanced Full (Hauler)
Boston University,BU #2 Student Village,"10 Buick St , Boston, MA, 02215, US",casella.peabody.service.requests@casella.com,Device Advanced Full (Hauler)
Boston University,BU #2 Student Village,"10 Buick St , Boston, MA, 02215, US",thomas.segearjr@casella.com,Device Advanced Full (Hauler)
Boston University,BU #2 Student Village,"10 Buick St , Boston, MA, 02215, US",srhealey@bu.edu,Device Empty (On-Site)
Boston University,BU #2 Student Village,"10 Buick St , Boston, MA, 02215, US",buresourcemanager@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #2 Student Village,"10 Buick St , Boston, MA, 02215, US",casella.peabody.service.requests@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #2 Student Village,"10 Buick St , Boston, MA, 02215, US",thomas.segearjr@casella.com,Device Full (On-Site and Hauler)
Boston University,BU #2 Student Village,"10 Buick St , Boston, MA, 02215, US",srhealey@bu.edu,Device Full (On-Site and Hauler)
Boston University,BU #2 Student Village,"10 Buick St , Boston, MA, 02215, US",mmoura@bu.edu,Device Full (On-Site and Hauler)
Boston University,BU #35 22 Babbit,"22 Babbitt St , Boston, MA, 02215, US",buresourcemanager@casella.com,Device Advanced Full (Hauler)
Boston University,BU #35 22 Babbit,"22 Babbitt St , Boston, MA, 02215, US",casella.peabody.service.requests@casella.com,Device Advanced Full (Hauler)
Boston University,BU #35 22 Babbit,"22 Babbitt St , Boston, MA, 02215, US",thomas.segearjr@casella.com,Device Advanced Full (Hauler)
Boston University,BU #35 22 Babbit,"22 Babbitt St , Boston, MA, 02215, US",srhealey@bu.edu,Device Empty (On-Site)
Boston University,BU #35 22 Babbit,"22 Babbitt St , Boston, MA, 02215, US",buresourcemanager@casella.com,Device Full (On-Site and Hauler)
